task_family,metric,comparison,n_model_a,n_model_b,mann_whitney_U,p_value,cliffs_delta,cliffs_label
open_ended_reasoning,ECS,gpt-5.4-mini vs gpt-5.4,35,35,481.0,0.12386825327465478,-0.2146938775510204,small
open_ended_reasoning,EVR,gpt-5.4-mini vs gpt-5.4,35,35,765.0,0.074195484581139,0.24897959183673468,small
open_ended_reasoning,EDI,gpt-5.4-mini vs gpt-5.4,35,35,733.0,0.1586781958256086,0.19673469387755102,small
structured_decision_support,ECS,gpt-5.4-mini vs gpt-5.4,30,30,202.0,0.00025305784556082746,-0.5511111111111111,large
structured_decision_support,EVR,gpt-5.4-mini vs gpt-5.4,30,30,624.0,0.010314672402337998,0.38666666666666666,medium
structured_decision_support,EDI,gpt-5.4-mini vs gpt-5.4,30,30,638.0,0.005569938587360544,0.4177777777777778,medium
text_classification,ECS,gpt-5.4-mini vs gpt-5.4,35,35,716.0,0.2263374181854123,0.1689795918367347,small
text_classification,EVR,gpt-5.4-mini vs gpt-5.4,35,35,553.0,0.48829735311281697,-0.09714285714285714,negligible
text_classification,EDI,gpt-5.4-mini vs gpt-5.4,35,35,467.0,0.08853375885880059,-0.23755102040816325,small
